#Zeit [s]	longitude [1e6]	Latitude [1e5]	GPSSpeed [1e2 km/h] 	Tacho [1e2 km/h] 	Temperatur [10 C] 	Druck [Pa] 	HoeheSee [10 m]
49463	9942431	5153866	1529	1697	355	39038	0
49464	9942433	5153862	1564	1693	355	39032	0
49465	9942440	5153857	1627	1748	355	39032	0
49466	9942440	5153853	1664	1700	355	39032	0
49467	9942456	5153846	1737	1636	355	39026	0
49468	9942467	5153841	1977	1625	355	39039	0
49469	9942473	5153835	1911	1621	355	39021	0
49470	9942482	5153830	1648	1699	355	39031	0
49471	9942485	5153826	1479	1681	355	39046	0
49472	9942489	5153823	1326	1682	354	39038	0
49473	9942493	5153819	1316	1674	354	39041	0
49474	9942505	5153814	1324	1650	354	39046	0
49475	9942515	5153809	1507	1645	354	39045	0
49476	9942522	5153805	1492	1638	354	39043	0
49477	9942527	5153801	1448	1644	354	39038	0
49478	9942530	5153797	1555	1667	354	39046	0
49479	9942532	5153792	1461	1657	354	39045	0
49480	9942530	5153787	1548	1631	354	39045	0
49481	9942525	5153784	1511	1627	354	39038	0
49482	9942518	5153780	1440	1588	354	39041	0
49483	9942515	5153776	1527	1553	354	39051	0
49484	9942507	5153772	1481	1568	354	39046	0
49485	9942490	5153769	1494	1600	354	39039	0
49486	9942467	5153765	1507	1635	354	39049	0
49487	9942445	5153761	1589	1665	354	39049	0
49488	9942417	5153758	1590	1536	354	39045	0
49489	9942382	5153754	1594	1736	354	39052	0
49490	9942350	5153750	1764	1787	353	39043	0
49491	9942320	5153745	1751	1831	353	39050	0
49492	9942291	5153741	1672	1855	353	39050	0
49493	9942260	5153736	1785	1887	353	39062	0
49494	9942230	5153732	2083	1918	353	39057	0
49495	9942202	5153726	2094	1896	353	39055	0
49496	9942165	5153723	1696	1899	353	39063	0
49497	9942125	5153719	1737	1687	353	39071	0
