#Zeit [s]	longitude [1e6]	Latitude [1e5]	GPSSpeed [1e2 km/h] 	Tacho [1e2 km/h] 	Temperatur [10 C] 	Druck [Pa] 	HoeheSee [10 m]
31449	9938963	5154914	2309	2421	124	100571	-1130
31450	9938975	5154908	2400	2115	123	100565	-1125
31451	9938989	5154902	2392	2367	123	100565	-1125
31452	9939002	5154896	2396	2107	123	100570	-1129
31453	9939014	5154890	2387	2067	122	100561	-1122
31454	9939022	5154884	2420	2248	122	100562	-1122
31455	9939030	5154878	2427	2433	121	100562	-1122
31456	9939035	5154871	2603	2442	121	100564	-1124
31457	9939040	5154865	2546	2410	121	100560	-1121
31458	9939046	5154859	2263	2363	120	100560	-1121
31459	9939050	5154853	2194	2343	120	100569	-1128
31460	9939054	5154847	2194	2354	119	100574	-1132
31461	9939060	5154841	2316	2372	119	100572	-1131
31462	9939068	5154836	2311	2361	118	100569	-1128
31463	9939079	5154831	2348	2378	118	100572	-1131
31464	9939093	5154825	2352	2396	118	100559	-1120
31465	9939108	5154820	2348	2426	117	100566	-1126
31466	9939125	5154815	2461	2435	117	100573	-1132
31467	9939147	5154809	2492	2440	117	100569	-1128
31468	9939167	5154803	2329	2415	116	100573	-1132
31469	9939190	5154797	2385	2393	116	100568	-1127
31470	9939213	5154791	2424	2429	115	100571	-1130
31471	9939234	5154785	2418	2419	115	100556	-1117
31472	9939256	5154779	2427	2399	115	100566	-1126
31473	9939277	5154773	2416	2420	115	100570	-1129
31474	9939299	5154767	2335	2441	114	100569	-1128
31475	9939320	5154761	2490	2451	114	100575	-1133
31476	9939341	5154755	2485	2100	113	100569	-1128
31477	9939362	5154749	2357	2010	113	100571	-1130
31478	9939381	5154744	2492	2001	113	100576	-1134
31479	9939401	5154738	2503	2013	113	100575	-1133
31480	9939420	5154732	2407	2040	112	100575	-1133
31481	9939439	5154726	2396	2247	112	100568	-1127
31482	9939461	5154720	2502	2437	112	100577	-1135
31483	9939481	5154714	2420	2457	112	100580	-1138
31484	9939503	5154708	2339	2449	111	100575	-1133
31485	9939526	5154703	2448	2445	111	100581	-1138
31486	9939546	5154696	2650	2453	111	100578	-1136
31487	9939568	5154691	2463	2450	111	100580	-1138
31488	9939590	5154685	2461	2442	110	100578	-1136
31489	9939604	5154679	2385	2392	110	100575	-1133
