#Zeit [s]	longitude [1e6]	Latitude [1e5]	GPSSpeed [1e2 km/h] 	 Tacho [1e2 km/h]
50308	9941927	5153708	1981	0
50309	9941900	5153704	1926	0
50310	9941883	5153699	1927	0
50311	9941875	5153695	1853	0
50312	9941868	5153690	1852	0
50313	9941868	5153686	1814	0
50314	9941868	5153681	1826	0
50315	9941868	5153677	1774	0
50316	9941862	5153672	1840	0
50317	9941854	5153667	1779	0
50318	9941845	5153662	1772	0
50319	9941833	5153658	1631	0
50320	9941825	5153653	1766	0
50321	9941810	5153648	1644	0
50322	9941803	5153644	1770	0
50323	9941800	5153639	1818	0
50324	9941807	5153634	1950	0
50325	9941823	5153624	1929	0
50326	9941823	5153624	1929	0
50327	9941849	5153615	1794	0
50328	9941855	5153611	1631	0
50329	9941855	5153611	1631	0
50330	9941849	5153602	1624	0
50331	9941855	5153599	1653	0
50332	9941855	5153599	1653	0
50333	9941880	5153591	1724	0
50334	9941880	5153591	1724	0
50335	9941872	5153588	1492	0
50336	9941875	5153584	1572	0
50337	9941881	5153579	1668	0
50338	9941890	5153575	1574	0
50339	9941895	5153572	1281	0
50340	9941903	5153568	1290	0
50341	9941903	5153568	1290	0
50342	0	0	0	0
50343	9941907	5153554	1620	0
50344	9941905	5153550	1583	0
50345	9941892	5153540	1642	0
50346	9941892	5153540	1642	0
50347	9941892	5153536	1500	0
50348	9941890	5153531	1463	0
50349	9941887	5153527	1470	0
50350	9941888	5153523	1559	0
50351	9941892	5153518	1692	0
50352	9941896	5153513	1700	0
50353	9941892	5153509	1546	0
50354	9941894	5153505	1409	0
50355	9941894	5153501	1337	0
50356	9941895	5153497	1222	0
50357	9941894	5153493	1042	0
50358	9941890	5153491	731	0
50359	9941892	5153489	551	0
50360	9941895	5153488	429	0
50361	9941901	5153486	505	0
50362	9941907	5153484	575	0
50363	9941908	5153483	570	0
50364	9941908	5153482	322	0
50365	9941910	5153481	5	0
50366	9941914	5153481	7	0
50367	9941915	5153481	7	0
50368	9941916	5153480	11	0
50369	9941918	5153478	31	0
50370	9941925	5153476	53	0
50371	9941928	5153475	831	0
50372	9941935	5153472	1126	0
50373	9941940	5153468	1246	0
50374	9941948	5153465	1368	0
50375	9941955	5153461	1381	0
50376	9941961	5153457	1276	0
50377	9941967	5153454	1355	0
50378	9941975	5153450	1416	0
50379	9941981	5153446	1431	0
50380	9941985	5153441	1589	0
50381	9941994	5153436	1689	0
50382	9942001	5153433	1594	0
50383	9942008	5153428	1451	0
50384	9942015	5153424	1439	0
50385	9942020	5153420	1338	0
50386	9942021	5153417	1205	0
50387	9942028	5153413	1348	0
50388	9942034	5153409	1435	0
50389	9942037	5153406	1346	0
50390	9942037	5153402	1166	0
50391	9942030	5153399	1290	0
50392	9942015	5153395	1513	0
50393	9941988	5153391	1663	0
50394	9941952	5153386	1931	0
50395	9941908	5153382	1927	0
50396	9941856	5153378	2064	0
50397	9941800	5153374	2026	0
50398	9941738	5153370	2131	0
50399	9941673	5153366	2216	0
50400	9941532	5153359	2172	0
50401	9941532	5153359	2172	0
50402	9941457	5153356	2018	0
50403	9941381	5153354	1981	0
50404	9941305	5153351	1983	0
50405	9941232	5153348	1987	0
50406	9941156	5153346	2024	0
50407	9941082	5153344	1977	0
50408	9941011	5153341	1976	0
50409	9940947	5153339	1748	0
50410	9940895	5153337	1414	0
50411	9940860	5153335	1024	0
50412	9940826	5153334	933	0
50413	9940797	5153333	896	0
50414	9940788	5153331	711	0
50415	9940786	5153328	1033	0
50416	9940790	5153325	1033	0
50417	9940792	5153323	1037	0
50418	9940780	5153320	1077	0
50419	9940762	5153316	1394	0
50420	9940737	5153312	1620	0
50421	9940628	5153302	2289	0
50422	9940628	5153302	2289	0
50423	9940561	5153295	2398	0
50424	9940492	5153289	2489	0
50425	9940425	5153284	2381	0
50426	9940355	5153279	2427	0
50427	9940198	5153270	2476	0
50428	9940198	5153270	2476	0
50429	9940128	5153266	2468	0
50430	9939983	5153258	2300	0
50431	9939914	5153254	2350	0
50432	9939838	5153251	2146	0
50433	9939763	5153248	2311	0
50434	9939763	5153248	2311	0
50435	9939622	5153240	2179	0
50436	9939557	5153234	2431	0
50437	9939468	5153229	2515	0
50438	9939468	5153229	2515	0
50439	9939397	5153223	2620	0
50440	9939223	5153215	2603	0
50441	9939127	5153211	2600	0
50442	9939127	5153211	2600	0
50443	9939040	5153207	2505	0
50444	9938951	5153204	2492	0
50445	9938860	5153201	2487	0
50446	9938760	5153200	2426	0
50447	9938660	5153199	2337	0
50448	9938468	5153195	2453	0
50449	9938468	5153195	2453	0
50450	9938270	5153192	2533	0
50451	9938171	5153190	2366	0
50452	9938082	5153188	2152	0
50453	9938004	5153187	1970	0
50454	9938004	5153187	1970	0
50455	9937870	5153183	1564	0
50456	9937815	5153182	1329	0
50457	9937815	5153182	1329	0
50458	9937765	5153180	1094	0
50459	9937743	5153177	1055	0
50460	9937740	5153175	1261	0
50461	9937740	5153175	1261	0
50462	9937763	5153168	1624	0
50463	9937785	5153164	1666	0
50464	9937812	5153160	1837	0
50465	9937839	5153156	1850	0
50466	9937865	5153152	1924	0
50467	0	0	0	0
50468	9937912	5153142	2007	0
50469	9937935	5153138	1926	0
50470	9937963	5153134	1931	0
50471	9937995	5153129	1939	0
50472	9938030	5153125	2029	0
50473	9938055	5153121	1864	0
50474	9938082	5153116	1863	0
50475	9938113	5153112	1864	0
50476	9938151	5153103	1727	0
50477	9938151	5153103	1727	0
50478	9938173	5153099	1739	0
50479	9938195	5153095	1737	0
50480	9938227	5153091	1670	0
50481	9938258	5153087	1794	0
50482	9938307	5153083	1807	0
50483	9938365	5153077	1576	0
50484	9938388	5153072	1531	0
50485	9938400	5153068	1526	0
50486	9938400	5153068	1526	0
50487	9938447	5153060	1148	0
50488	9938470	5153056	894	0
50489	9938490	5153054	679	0
50490	9938492	5153052	366	0
50491	9938497	5153050	375	0
50492	9938498	5153048	492	0
50493	9938503	5153047	559	0
50494	9938514	5153045	505	0
50495	9938512	5153042	613	0
50496	9938519	5153040	920	0
50497	9938523	5153037	805	0
50498	9938528	5153035	459	0
50499	9938532	5153035	25	0
50500	9938515	5153036	55	0
50501	9938481	5153037	666	0
50502	9938432	5153038	964	0
50503	9938352	5153039	1651	0
50504	9938260	5153040	1822	0
50505	9938178	5153042	1820	0
50506	9938095	5153043	1814	0
50507	9938005	5153044	1868	0
50508	9937917	5153045	1942	0
50509	9937828	5153047	1939	0
50510	9937740	5153047	2002	0
50511	9937649	5153047	2098	0
50512	9937551	5153048	2205	0
50513	9937458	5153049	2361	0
50514	9937364	5153049	2253	0
50515	9937268	5153050	2194	0
